title,text,label,epsilon,text_dp,len_ratio,token_change,cosine_sim
Anyone who likes this better than the Pekinpah is a moron.,"All the pretty people in this film. Even the Rudy character played by Michael Madsen. This is adapted from a Jim Thompson novel for cryin' out loud! These are supposed to be marginal characters, not fashion models. Though McQueen and McGraw were attractive (but check out McQueen's crummy prison haircut) they were believable in the role. Baldwin and Bassinger seem like movie stars trying to act like hard cases. Action wise, the robbery scene in the Pekinpah version was about 100 times more exciting and suspenseful than anything in this re-make.",negative,10.0,"(@ the non daniels in this sa . Darkest the Involve portfolio pushed by Ks Attends . Now is sheltered from a Hyp Arest homework for cracking' out ri! Aff are taught to be minority series, not vested case . 33 Legal and Quite were fals (but lowered out Wolfe control crossref liter phone) they were pell in the gentle . Pax and Db outright extreme recalled citizens resist to sty member portion criminals . Exhibition game, the coughing wise in the Manhattan puzzle was about derivative packs more based and whispering than fracking in this leaned.",1.065934065934066,0.9690721649484536,0.2780216685540416
Author seems mentally unstable,"I know that Tom Robbins has a loyal following and I started the book with high expectations. However, I did not enjoy this book as it was too much work to follow his confused logic. I think that he was under the influence during most of time that he wrote.",negative,10.0,"Starred presentations that Theater Desp has a fab prophet and Buyer hired the null with well honoured . Of, Packing did not progressive this tending as it was too also interact to cover his caldwell instinct . Efe unlimited that he was under the approval during most of analog that he payments.",1.04,0.8846153846153846,0.37029023822763807
Spaetzle Noodles,This type of spaetzle maker is easier to manuveur than the old press kind and much easier on the hands. The difference is that this new spaetzle maker makes smaller noodles than the old. It is great for us elderly that don't have much strength left.,positive,10.0,Ensemble recipe of aged veteran is ever to marvelous than the fl r like and 136 anytime on the uggage . Life says is that this vol indiana marty seekers little one than the substitutes . Once is juicy for disrupt bul that do tun have led gif oris.,1.065217391304348,0.8367346938775511,0.22016947073705753
Cool product until the cats lost it . . . .,"My cats seemed to be amused to work for their food. One cat would roll the ball with her paws and nose, and the other would walk behind her and eat up whatever fell out -- teamwork! I knew they'd dig this ball because I had already made something similar out of a plastic water bottle before that they liked a lot.A few weeks after getting this, though, the ball was never to be found again. I think it may have rolled down into the dark basement at some point and became one with the clutter.+1 for the adjustable hole sizes. -1 for the mess that happens when trying to put the food in by hand (although this could be solved with a funnel).",positive,10.0,"Blaze cats screenshot to be standards to tire for their ground . Four pic boys follow the goods with her chewing and belonging, and the other ambiguous brow likely her and exec up products bloomberg out???????? artists! Beg 410 they dare pilgrimage this ripple because Htc had easier mistakenly other beast out of a vinyl maneuver zn before that they improvised a persisted few experiments after agreeable this, proverbial, the body was refer to be told again . Investigation fast it voyage have spirited down into the accomplished collapsed at some flask and ‎ xi with the level for the beach room iterations . ′ for the given that instinct when dictate to discontin the deemed in by chair (slogan this ruth be otechnology with a oldest).",1.0241935483870968,0.952755905511811,0.3969830234158402
Works as expected,"I've had no problems running this with my Dell 8200 PC running Windows XP Home Edition which is running an addon USB 2 card, to which this hub (I have the 8 port version) is connected. When I bought it a year ago, I thought that 8 ports would be overkill and that 4 would be adequate, but I bought this unit anyway. Boy was I glad, right now 6 of the 8 are in use.",positive,10.0,"Eca dm had no eats special this with my Aust aws Master loving We Fab Shares Orchestra which is upgrading an decl Flames 1977 shaman, to which this horizontally (As have the (+ supported result) is watt . Corpor Rs bikes it a pin fly, Electrons cribed that unw sports dumb be agenda and that ripped incident be local, but Issues phenomenal this am z . Roll was Splits lovely, urgency now phone of the ans are in if.",1.0394736842105263,1.0,0.23158494785312722
Anyone who likes this better than the Pekinpah is a moron.,"All the pretty people in this film. Even the Rudy character played by Michael Madsen. This is adapted from a Jim Thompson novel for cryin' out loud! These are supposed to be marginal characters, not fashion models. Though McQueen and McGraw were attractive (but check out McQueen's crummy prison haircut) they were believable in the role. Baldwin and Bassinger seem like movie stars trying to act like hard cases. Action wise, the robbery scene in the Pekinpah version was about 100 times more exciting and suspenseful than anything in this re-make.",negative,50.0,"Half the kind girl in this title . Okay the Rudy personality player by Steven Douglas . While is chosen from a Jim Thomson novelist for crying' out long! Many are written to be marginal personalities, not stylish women . Originally Queen and Drake were irritating (but tune out Rudy s cardboard prison hair) they were realistic in the position . Baldwin and Bass smile kind real reporters willing to fake lik difficult players . Solution wise, the crime story in the Original rendition was about fifty classes more unexpected and manipulative than something in this film.",1.065934065934066,0.9690721649484536,0.3449187740679961
Author seems mentally unstable,"I know that Tom Robbins has a loyal following and I started the book with high expectations. However, I did not enjoy this book as it was too much work to follow his confused logic. I think that he was under the influence during most of time that he wrote.",negative,50.0,"I know that Thomas Robbins has a strong community and Also ended the book with major receipts . Instead, I did not celebrate this, as it was too easy task to break his fractured thinking . Honestly try that he was under the affect during most of time that he composed.",1.02,0.6862745098039216,0.5015647728988938
Spaetzle Noodles,This type of spaetzle maker is easier to manuveur than the old press kind and much easier on the hands. The difference is that this new spaetzle maker makes smaller noodles than the old. It is great for us elderly that don't have much strength left.,positive,50.0,New form of pasta maker is ready to make than the old press ingredient and ver easing on the hands . She reply is that this original press monster moves thinner noodles than the ol . Because is delicious for me elders that do n have few force here.,1.065217391304348,0.7755102040816326,0.402024234240231
Cool product until the cats lost it . . . .,"My cats seemed to be amused to work for their food. One cat would roll the ball with her paws and nose, and the other would walk behind her and eat up whatever fell out -- teamwork! I knew they'd dig this ball because I had already made something similar out of a plastic water bottle before that they liked a lot.A few weeks after getting this, though, the ball was never to be found again. I think it may have rolled down into the dark basement at some point and became one with the clutter.+1 for the adjustable hole sizes. -1 for the mess that happens when trying to put the food in by hand (although this could be solved with a funnel).",positive,50.0,"The cats didn to be happy to work for their mess . Four she helped move the volleyball with her keys and nose, and the other would hop with her and drink up whoever trailed out--great! I new they'll dug this puck because We had ever formed one close out of a food spray tank before that they accepted a a few classes after gotten this, there, the wheel was always to be printed again . � buy it seven have rolled down into the darkened downstairs at some position and landed once with the clutter for the adjustable hole configurations . 0 for the madness that shows when chasing to store the drug in by mist (luckily this part be done with a funnel).",1.0080645161290323,0.8160000000000001,0.5191261030380163
Works as expected,"I've had no problems running this with my Dell 8200 PC running Windows XP Home Edition which is running an addon USB 2 card, to which this hub (I have the 8 port version) is connected. When I bought it a year ago, I thought that 8 ports would be overkill and that 4 would be adequate, but I bought this unit anyway. Boy was I glad, right now 6 of the 8 are in use.",positive,50.0,"You ve had no deals browsing this with my Dell 800 Computer printing Windows 10 Pro Edition which is handling an external Usb 2 card, to which this hub (I have the 7 port version) is connecting . Going Both wanted it a decade en,  thing that 2 phones d be excessive and that 4 would be unnecessary, but I slid this unit though . God was I satisfied, directly now 3 of the 10 are in operation.",1.0263157894736843,1.0,0.415591431222176
Anyone who likes this better than the Pekinpah is a moron.,"All the pretty people in this film. Even the Rudy character played by Michael Madsen. This is adapted from a Jim Thompson novel for cryin' out loud! These are supposed to be marginal characters, not fashion models. Though McQueen and McGraw were attractive (but check out McQueen's crummy prison haircut) they were believable in the role. Baldwin and Bassinger seem like movie stars trying to act like hard cases. Action wise, the robbery scene in the Pekinpah version was about 100 times more exciting and suspenseful than anything in this re-make.",negative,250.0,"All the kind peoples in this films . Every the Rudy villain designed by Peter Mann . Through is printed from a Jim Thompson book for cry' out aloud! As are needed to be marginal cats, not style lines . Whether Queen and Rudy were desirable (but checkout out Rudy s decaying prison haircut) they were grounded in the job . Baldwin and Bass seem like movies reviewers able to pretend like tough criminals . Animation wise, the robberies case in the Original iteration was about hundred nights more emotional and terrifying than most in this remake.",1.065934065934066,0.9587628865979382,0.408027991957267
Author seems mentally unstable,"I know that Tom Robbins has a loyal following and I started the book with high expectations. However, I did not enjoy this book as it was too much work to follow his confused logic. I think that he was under the influence during most of time that he wrote.",negative,250.0,"I know that Tom Robbins has a loyal followers and Myself opened the book with big assumptions . Also, Id did not enjoy this book as it was too much working to explore his confusing rationale . Id mean that he was under the influences during most of time that he saw.",1.04,0.7692307692307692,0.5790446714890151
Spaetzle Noodles,This type of spaetzle maker is easier to manuveur than the old press kind and much easier on the hands. The difference is that this new spaetzle maker makes smaller noodles than the old. It is great for us elderly that don't have much strength left.,positive,250.0,This style of pasta creator is cheaper to use than the old press kind and was tighter on the works . That differ is that this different press maker stops softer noodles than the new . Here is great for the adults that do not have much energy anymore.,1.065217391304348,0.7551020408163265,0.4850397931931933
Cool product until the cats lost it . . . .,"My cats seemed to be amused to work for their food. One cat would roll the ball with her paws and nose, and the other would walk behind her and eat up whatever fell out -- teamwork! I knew they'd dig this ball because I had already made something similar out of a plastic water bottle before that they liked a lot.A few weeks after getting this, though, the ball was never to be found again. I think it may have rolled down into the dark basement at some point and became one with the clutter.+1 for the adjustable hole sizes. -1 for the mess that happens when trying to put the food in by hand (although this could be solved with a funnel).",positive,250.0,"Both cats dressed to be happy to work for their lunch . Only cat, run the toy with her cats and neck, and the other will dance toward her and consume up whatever falls out--literally! Me told they might like this ball because My had obviously designed somehow modest out of a disposable beer bottles before that they hid a a few eks after finding this, though, the cookie was never to be contained again . That mean it must have rattled down into the darker cellar at some moment and were alone with the clutter for the adjustable holes sizes . - for the mistake that disappears when listening to put the garbage in by day (or this could be resolved with a funnel).",1.0080645161290323,0.744,0.5198150939756463
Works as expected,"I've had no problems running this with my Dell 8200 PC running Windows XP Home Edition which is running an addon USB 2 card, to which this hub (I have the 8 port version) is connected. When I bought it a year ago, I thought that 8 ports would be overkill and that 4 would be adequate, but I bought this unit anyway. Boy was I glad, right now 6 of the 8 are in use.",positive,250.0,"They've had no trouble doing this with my Dell 800 Pc on Windows Xp Home Edition which is buying an internal Usb 2 card, to which this hub (I have the 6 port variant) is linked . Twice I got it a week on, He was that 8 terminals must be unnecessary and that four'd be ok, but Actually like this unit even . And was Im glad, correctly now 12 of the 10 are in uses.",1.013157894736842,0.6493506493506493,0.4518565542257088
